Source,Target,Type,Id,Label,Weight
1,11,Directed,144,FR/BE,19.609199999999998
9,9,Directed,148,CO/CO,3.338
2,2,Directed,149,TR/TR,16.1994
4,7,Directed,151,US/EG,1.6160999999999999
13,14,Directed,155,VE/IT,5.4
16,4,Directed,156,NL/US,5.4
14,2,Directed,158,IT/TR,0.9
1,28,Directed,161,FR/JP,0.5447
12,9,Directed,166,MX/CO,3.6
2,14,Directed,168,TR/IT,0.8526
29,1,Directed,169,KW/FR,2.7
12,14,Directed,171,MX/IT,10.8
24,23,Directed,173,PT/IN,0.9
19,14,Directed,175,IE/IT,3.6
3,10,Directed,177,GB/BR,0.4387
14,18,Directed,180,IT/RU,9.9
20,9,Directed,185,AR/CO,7.2
21,3,Directed,188,AU/GB,3.6
9,12,Directed,191,CO/MX,10.3478
8,7,Directed,193,ES/EG,8.1
10,10,Directed,194,BR/BR,1.8
14,24,Directed,195,IT/PT,4.5
14,7,Directed,196,IT/EG,9.9
6,25,Directed,202,PL/AE,1.8
15,14,Directed,205,PH/IT,0.546
20,7,Directed,206,AR/EG,2.7
4,18,Directed,207,US/RU,10.774
4,14,Directed,208,US/IT,12.928799999999999
3,18,Directed,209,GB/RU,2.1935
10,24,Directed,210,BR/PT,0.9
30,1,Directed,213,TH/FR,2.4489
8,5,Directed,215,ES/DE,27
5,15,Directed,217,DE/PH,1.8
14,10,Directed,219,IT/BR,1.8
1,18,Directed,220,FR/RU,3.2681999999999998
16,3,Directed,221,NL/GB,1.8
4,23,Directed,222,US/IN,28.0124
20,4,Directed,224,AR/US,6.3
12,4,Directed,226,MX/US,9
24,10,Directed,231,PT/BR,0.9
2,9,Directed,232,TR/CO,2.5578000000000003
3,15,Directed,234,GB/PH,0.8774
11,5,Directed,236,BE/DE,5.4
19,23,Directed,237,IE/IN,0.9
11,15,Directed,239,BE/PH,1.8
2,27,Directed,240,TR/ID,2.5578000000000003
5,19,Directed,241,DE/IE,13.5
4,11,Directed,243,US/BE,1.0774
10,15,Directed,244,BR/PH,0.9
19,3,Directed,245,IE/GB,4.5
16,5,Directed,246,NL/DE,9.9
8,18,Directed,253,ES/RU,1.8
23,12,Directed,256,IN/MX,2.6224999999999996
17,17,Directed,258,CA/CA,8.1
17,11,Directed,261,CA/BE,2.7
3,23,Directed,263,GB/IN,26.7607
13,23,Directed,265,VE/IN,0.9
4,19,Directed,267,US/IE,2.6935
20,14,Directed,268,AR/IT,16.2
20,20,Directed,272,AR/AR,5.4
12,20,Directed,273,MX/AR,1.8
27,15,Directed,274,ID/PH,0.9
4,17,Directed,275,US/CA,9.6966
1,21,Directed,276,FR/AU,1.6340999999999999
2,3,Directed,277,TR/GB,1.2789000000000001
14,22,Directed,280,IT/ZA,1.8
13,7,Directed,290,VE/EG,2.7
17,4,Directed,291,CA/US,2.7
5,23,Directed,292,DE/IN,5.4
1,2,Directed,295,FR/TR,6.5363999999999995
8,10,Directed,297,ES/BR,2.7
14,30,Directed,298,IT/TH,0.9
1,10,Directed,300,FR/BR,3.8129
1,3,Directed,301,FR/GB,2.1788
5,3,Directed,302,DE/GB,4.5
10,23,Directed,304,BR/IN,1.8
4,32,Directed,305,US/MY,1.6160999999999999
13,8,Directed,306,VE/ES,0.9
6,14,Directed,310,PL/IT,4.5
16,16,Directed,313,NL/NL,4.5
2,16,Directed,314,TR/NL,0.4263
3,8,Directed,315,GB/ES,1.3161
8,3,Directed,318,ES/GB,11.700000000000001
9,20,Directed,321,CO/AR,0.6676
23,3,Directed,323,IN/GB,0.5245
9,4,Directed,324,CO/US,1.3352
5,18,Directed,325,DE/RU,0.9
11,12,Directed,327,BE/MX,8.1
19,5,Directed,329,IE/DE,3.6
1,27,Directed,335,FR/ID,0.5447
14,8,Directed,337,IT/ES,1.8
8,23,Directed,340,ES/IN,14.4
23,23,Directed,341,IN/IN,1.5735
12,18,Directed,344,MX/RU,0.9
11,21,Directed,346,BE/AU,0.9
16,22,Directed,347,NL/ZA,13.5
4,9,Directed,349,US/CO,1.0774
22,23,Directed,352,ZA/IN,1.8
4,8,Directed,353,US/ES,2.6935
20,13,Directed,355,AR/VE,2.7
11,14,Directed,357,BE/IT,2.7
1,6,Directed,360,FR/PL,4.902299999999999
23,4,Directed,362,IN/US,0.5245
20,31,Directed,365,AR/UY,2.7
4,13,Directed,366,US/VE,1.0774
8,17,Directed,368,ES/CA,3.6
12,13,Directed,374,MX/VE,2.7
21,4,Directed,380,AU/US,8.1
16,23,Directed,382,NL/IN,1.8
24,3,Directed,384,PT/GB,0.9
2,4,Directed,385,TR/US,4.263
19,18,Directed,388,IE/RU,0.9
4,26,Directed,389,US/SA,0.5387
2,18,Directed,391,TR/RU,1.2789000000000001
4,16,Directed,392,US/NL,3.2321999999999997
3,7,Directed,395,GB/EG,1.7548
2,7,Directed,396,TR/EG,2.5578000000000003
27,4,Directed,398,ID/US,1.8
13,4,Directed,400,VE/US,3.6
19,15,Directed,401,IE/PH,0.9
24,14,Directed,415,PT/IT,0.9
17,3,Directed,423,CA/GB,0.9
11,23,Directed,424,BE/IN,1.8
14,26,Directed,425,IT/SA,0.9
24,12,Directed,426,PT/MX,4.5
4,15,Directed,431,US/PH,2.1548
12,10,Directed,433,MX/BR,0.9
17,15,Directed,436,CA/PH,1.8
1,24,Directed,438,FR/PT,2.1788
8,16,Directed,440,ES/NL,0.9
6,6,Directed,441,PL/PL,2.7
5,22,Directed,442,DE/ZA,0.9
21,12,Directed,443,AU/MX,12.6
3,17,Directed,445,GB/CA,0.8774
3,16,Directed,447,GB/NL,1.3161
1,8,Directed,454,FR/ES,0.5447
4,2,Directed,457,US/TR,0.5387
11,11,Directed,459,BE/BE,1.8
9,8,Directed,460,CO/ES,0.3338
14,9,Directed,466,IT/CO,2.7
10,4,Directed,471,BR/US,0.9
12,7,Directed,473,MX/EG,0.9
12,5,Directed,475,MX/DE,0.9
11,16,Directed,476,BE/NL,0.9
17,2,Directed,477,CA/TR,0.9
4,21,Directed,481,US/AU,1.0774
20,17,Directed,482,AR/CA,0.9
11,27,Directed,484,BE/ID,0.9
3,19,Directed,485,GB/IE,0.8774
8,2,Directed,490,ES/TR,0.9
10,14,Directed,491,BR/IT,2.7
2,26,Directed,492,TR/SA,0.4263
10,5,Directed,493,BR/DE,2.7
14,5,Directed,494,IT/DE,7.2
21,5,Directed,495,AU/DE,2.7
12,23,Directed,497,MX/IN,1.8
1,16,Directed,501,FR/NL,0.5447
14,27,Directed,502,IT/ID,4.5
4,25,Directed,504,US/AE,0.5387
6,23,Directed,505,PL/IN,0.9
17,5,Directed,512,CA/DE,0.9
3,22,Directed,514,GB/ZA,0.8774
21,21,Directed,517,AU/AU,0.9
22,5,Directed,519,ZA/DE,1.8
10,28,Directed,520,BR/JP,0.9
27,14,Directed,521,ID/IT,0.9
14,3,Directed,522,IT/GB,0.9
2,8,Directed,527,TR/ES,0.8526
3,21,Directed,529,GB/AU,0.4387
8,24,Directed,536,ES/PT,0.9
16,17,Directed,538,NL/CA,0.9
8,26,Directed,539,ES/SA,0.9
16,10,Directed,545,NL/BR,0.9
1,7,Directed,546,FR/EG,1.0894
16,21,Directed,550,NL/AU,1.8
3,2,Directed,554,GB/TR,0.4387
5,17,Directed,557,DE/CA,0.9
32,1,Directed,562,MY/FR,0.9
11,17,Directed,563,BE/CA,0.9
9,14,Directed,564,CO/IT,0.3338
3,11,Directed,565,GB/BE,0.4387
10,17,Directed,566,BR/CA,0.9
7,7,Directed,572,EG/EG,0.3187
4,28,Directed,573,US/JP,0.5387
13,13,Directed,574,VE/VE,0.9
20,3,Directed,578,AR/GB,0.9
20,15,Directed,579,AR/PH,0.9
5,11,Directed,583,DE/BE,0.9
5,11,Directed,583,DE/BE,0.9
